rom_rev,log_path,start_time,n_events,n_signals,signal_set,dominant_signal,rpm_mean,load_mean,app_mean,throttle_mean
old_2023_base,logs/Older/3-31 black.csv,3436.2,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,1172.0,0.485,9.215,9.215
old_2023_base,logs/Older/3-31 black.csv,3494.9,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,1586.0,0.28,7.255,7.255
old_2023_base,logs/Older/3-31 black.csv,3502.7,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2540.0,0.17,7.06,7.06
old_2023_base,logs/Older/3-31 black.csv,3512.6,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2276.0,0.19,6.67,6.67
old_2023_base,logs/Older/3-31 black.csv,3557.6,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1119.0,0.215,3.53,3.53
old_2023_base,logs/Older/3-31 black.csv,3580.6,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,2156.0,0.18,6.27,6.27
old_2023_base,logs/Older/3-31 black.csv,3582.8,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2212.5,0.305,10.195,10.195
old_2023_base,logs/Older/3-31 black.csv,3589.8,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,2073.0,0.19,6.27,6.27
old_2023_base,logs/Older/3-31 black.csv,3597.8,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1621.0,0.21,5.49,5.49
old_2023_base,logs/Older/3-31 black.csv,47026.0,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,4764.5,3.37,100.0,100.0
old_2023_base,logs/Older/3-31 black.csv,47029.0,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,4920.5,3.295,100.0,100.0
old_2023_base,logs/Older/3-31 black.csv,47074.0,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,avcs_oscillation,2614.3333333333335,0.17,7.45,7.45
old_2023_base,logs/Older/3-31 black.csv,47100.0,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,1219.0,0.2,4.115,4.115
stock,logs/Older/3-21.csv,12.0,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1784.0,0.43,0.0,11.37
stock,logs/Older/3-21.csv,35.0,2,2,afr_osc+ffb_wbo2_divergence,afr_osc,1546.0,0.505,0.0,11.76
stock,logs/Older/3-21.csv,326.0,2,2,avcs_oscillation+rpm_swing_steady_tps,rpm_swing_steady_tps,1368.0,0.575,7.06,11.76
stock,logs/Older/3-21.csv,400.0,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2101.0,0.21,0.0,7.06
stock,logs/Older/3-21.csv,448.0,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,avcs_oscillation,1983.6666666666667,0.2733333333333334,3.7900000000000005,9.02
stock,logs/Older/3-21.csv,527.0,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,1908.0,0.22,0.0,7.06
stock,logs/Older/3-21.csv,555.0,2,2,avcs_oscillation+timing_osc,timing_osc,2424.5,0.19,0.0,7.84
stock,logs/Older/3-21.csv,569.0,2,2,avcs_oscillation+timing_osc,timing_osc,2271.0,0.34,7.06,11.37
stock,logs/Older/3-21.csv,581.0,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,2588.0,0.20500000000000002,0.0,8.04
stock,logs/Older/3-21.csv,646.0,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,2125.0,0.20500000000000002,0.0,7.06
stock,logs/Older/3-21.csv,666.0,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2822.0,0.175,0.0,8.24
stock,logs/Older/3-21.csv,681.0,3,3,ffb_wbo2_divergence+rpm_swing_steady_tps+throttle_hunt_at_steady_app,ffb_wbo2_divergence,1226.3333333333333,0.24333333333333332,0.0,5.1
stock,logs/Older/3-21.csv,727.0,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,2634.0,0.185,0.0,7.84
stock,logs/Older/3-21.csv,1007.0,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,1871.0,0.23,0.0,7.06
stock,logs/Older/3-21.csv,1009.0,2,2,avcs_oscillation+timing_osc,timing_osc,1801.5,0.33,4.3149999999999995,9.215
stock,logs/Older/3-21.csv,1042.0,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2714.5,0.18,0.0,8.24
stock,logs/Older/3-21.csv,1051.0,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,timing_osc,2436.6666666666665,0.19333333333333336,0.0,7.84
stock,logs/Older/3-21.csv,1055.0,2,2,avcs_oscillation+timing_osc,avcs_oscillation,2311.5,0.21000000000000002,0.0,7.45
stock,logs/Older/3-21.csv,1056.0,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2255.0,0.2,0.0,7.45
stock,logs/Older/3-21.csv,1070.0,3,3,afr_osc+avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2414.3333333333335,0.19000000000000003,0.0,7.84
