rom_rev,log,ramp_min,n,med_lean,fbkc_follow
garn_base,Older/3-21.csv,0.1066666666666666,34,7.470000000000001,1
garn_base,Older/3-30.csv,0.116,30,7.3237999999999985,0
garn_base,Older/4-1.csv,0.08,24,7.468800000000001,1
20.7,Older/4-11.csv,0.6793333333333333,163,7.171699999999998,6
20.7,Older/4-12 big.csv,1.1753333333333331,225,7.1533,5
20.8,April/4-23/log0001.csv,0.044,8,7.828349999999999,0
20.8,April/4-23/log0002.csv,0.03,9,6.858059999999998,0
20.8,April/4-24/4-24 full.csv,0.7966666666666667,198,7.314549999999999,5
20.9,April/4-25/4-25 full.csv,0.2693333333333333,89,7.673500000000002,4
20.10,April/4-27 20.10/4-27.csv,0.102,32,7.7158,3
20.10,5-2/5-2.csv,0.184,67,8.530000000000001,2
20.11,5-8 20.11/5-8.csv,0.236,89,7.619999999999999,4
20.11,5-10 20.11/log0003.csv,0.13,55,7.66,0
20.11,5-11 20.11/log0001.csv,0.046,14,7.849999999999999,1
20.11,5-11 20.11/log0002.csv,0.0106666666666666,3,7.52,0
20.11,5-11 20.11/log0003.csv,0.0673333333333333,25,7.620000000000001,1
20.11,5-12 20.11/5-12.csv,0.0433333333333333,6,7.475000000000001,0
20.12,5-17 20.12/log0002.csv,1.7766666666666668,282,7.44,6
20.12,5-17 20.12/log0003.csv,0.0333333333333333,12,9.59,0
20.12,5-17 20.12/log0004.csv,0.0493333333333333,23,8.280000000000001,0
20.12,5-17 20.12/log0005.csv,0.026,10,7.985000000000001,0
20.12,5-17 20.12/log0006.csv,0.0606666666666666,15,7.18,0
20.12,5-17 20.12/log0007.csv,1.508,271,7.48,7
20.13,5-22 20.13/log0001.csv,2.3233333333333333,363,7.41,6
20.14,5-23 20.14/log0001.csv,0.046,17,6.779999999999999,0
20.14,5-23 20.14/log0002.csv,0.02,6,7.554999999999999,0
20.14,5-23 20.14/log0003.csv,3.51,422,6.834999999999998,7
20.15,5-25 20.15/log0001.csv,0.054,17,9.03,0
20.15,5-26 20.15/log0001.csv,0.1226666666666666,25,6.793799999999999,1
20.15,5-28 20.15/log0001.csv,2.509333333333333,353,7.48,10
20.16,5-30 20.16/log0001.csv,0.2566666666666666,76,7.949999999999999,1
20.17,6-3 20.17/log0001.csv,0.3533333333333333,76,7.355,4
20.17a,6-5 20.17a/log0001.csv,0.1733333333333333,44,7.515000000000001,3
20.17a,6-7 BIG 20.17a fixed/log0001.csv,5.938666666666666,809,7.629999999999999,32
20.17a,6-13 17a leak fix/log0001.csv,0.108,39,7.9,1
20.17a,6-13 17a leak fix/log0002.csv,0.0746666666666666,25,8.52,0
20.17a,6-13 17a leak fix/log0003.csv,0.016,6,8.465,0
20.17a,6-13 17a leak fix/log0004.csv,0.0473333333333333,15,7.56,0
20.17a,6-15/log0001.csv,0.094,28,7.285,2
20.18,6-21 pcv fix 20.18/6-21 6 logs combined.csv,2.885333333333333,439,7.59,18
20.18,7-12 20.18/7-12 20.18.csv,1.6946666666666668,428,7.750400000000003,11
