log_date,rom_rev,log_path,rpm_bin,mrp_bin,sample_count,mean_maf_gs,median_maf_gs,st,std_maf_gs
2023-03-31,old_2023_base,logs/3-31 black.csv,800.0,-10.5,2,3.13,3.13,,0.0707106781186549
2023-03-31,old_2023_base,logs/3-31 black.csv,800.0,-10.0,81,3.623827160493827,3.56,,0.1681633722101409
2023-03-31,old_2023_base,logs/3-31 black.csv,800.0,-9.5,718,3.414484679665738,3.37,,0.1723743426119482
2023-03-31,old_2023_base,logs/3-31 black.csv,800.0,-9.0,2,4.234999999999999,4.234999999999999,,0.4454772721475245
2023-03-31,old_2023_base,logs/3-31 black.csv,800.0,0.0,3,2.21,2.21,,0.0
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-11.0,30,4.2363333333333335,4.279999999999999,,0.268462844450726
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-10.5,25,4.3788,4.17,,0.5158029339453846
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-10.0,32,4.7065625,4.55,,0.479889835308332
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-8.5,5,9.182,8.99,,0.931112238132439
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-8.0,10,9.794,10.145,,0.9388314249344468
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-7.5,3,9.246666666666668,9.33,,0.2650157228040129
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-6.0,4,11.83,11.865,,0.4318178628387972
2023-03-31,old_2023_base,logs/3-31 black.csv,1200.0,-5.5,8,14.07875,13.77,,0.7917329546182673
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-11.0,55,5.536545454545454,5.51,,0.3427622984897746
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-10.5,32,6.6346875,6.65,,0.6672523552938286
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-10.0,27,7.506666666666667,7.4,,0.4758555048945654
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-9.5,44,8.502045454545454,8.57,,0.6452458682114713
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-9.0,37,9.442702702702702,9.33,,0.5706898780747183
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-8.5,28,10.658928571428572,10.545,,0.8631867712820922
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-8.0,7,12.411428571428573,12.14,,1.2044421747767526
2023-03-31,old_2023_base,logs/3-31 black.csv,1600.0,-7.0,1,14.02,14.02,,
2023-03-31,old_2023_base,logs/3-31 black.csv,1900.0,-11.5,18,6.476111111111111,6.46,,0.0960477141773442
2023-03-31,old_2023_base,logs/3-31 black.csv,1900.0,-11.0,65,6.281538461538462,6.24,,0.1702409209145855
2023-03-31,old_2023_base,logs/3-31 black.csv,1900.0,-10.5,2,7.6,7.6,,0.1131370849898477
2023-03-31,old_2023_base,logs/3-31 black.csv,1900.0,-10.0,7,8.737142857142857,9.08,,0.876749950778713
2023-03-31,old_2023_base,logs/3-31 black.csv,1900.0,-9.5,16,9.948125,9.97,,0.6613946754145118
2023-03-31,old_2023_base,logs/3-31 black.csv,1900.0,-9.0,5,11.56,11.31,,1.2836471477785472
2023-03-31,old_2023_base,logs/3-31 black.csv,1900.0,-6.0,1,23.28,23.28,,
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-11.5,213,6.913521126760563,6.95,,0.2022824845630204
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-11.0,18,7.547222222222222,7.21,,0.6887995145481961
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-10.5,8,9.5325,9.55,,0.2318712697043024
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-10.0,10,10.87,10.93,,0.3365181190433059
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-8.0,1,20.88,20.88,,
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-7.5,2,21.69,21.69,,2.2061731573020302
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-7.0,1,24.52,24.52,,
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-6.5,5,23.926,24.15,,1.0795508325224887
2023-03-31,old_2023_base,logs/3-31 black.csv,2200.0,-6.0,2,26.385,26.385,,0.7141778489984129
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-11.5,51,7.320392156862746,7.3,,0.1763854958245003
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-11.0,57,7.727894736842106,7.43,,0.7136168861163362
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-10.5,1,10.72,10.72,,
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-10.0,1,12.67,12.67,,
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-9.5,2,13.635,13.635,,0.0494974746830585
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-7.0,10,23.802,23.535,,1.0166699453499046
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-6.5,27,26.00222222222222,25.76,,1.095161854329983
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-6.0,26,27.613076923076925,27.48,,1.7821756798492543
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-5.5,20,30.5895,30.42,,1.0857521041098417
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-5.0,28,33.55571428571428,33.57,,1.0016964446356849
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-4.5,24,35.61625,35.535,,0.6761966044177427
2023-03-31,old_2023_base,logs/3-31 black.csv,2600.0,-4.0,5,37.226,37.03,,0.4690735549996394
2023-03-31,old_2023_base,logs/3-31 black.csv,3000.0,-11.5,9,7.861111111111111,7.89,,0.0773699625895676
2023-03-31,old_2023_base,logs/3-31 black.csv,3000.0,-11.0,8,7.5,7.52,,0.0853563956930839
2023-03-31,old_2023_base,logs/3-31 black.csv,3000.0,-6.0,1,29.87,29.87,,
2023-03-31,old_2023_base,logs/3-31 black.csv,3300.0,-11.5,1,8.41,8.41,,
2026-03-21,stock,logs/3-21.csv,800.0,-10.0,23,3.693043478260869,3.45,,0.39564027259171
2026-03-21,stock,logs/3-21.csv,800.0,-9.5,8282,3.8954696933107935,3.88,,0.113271505118798
2026-03-21,stock,logs/3-21.csv,800.0,-9.0,496,4.432862903225806,4.19,,0.5590109134610196
2026-03-21,stock,logs/3-21.csv,800.0,-8.5,111,5.276126126126126,5.26,,0.5345502292431903
2026-03-21,stock,logs/3-21.csv,800.0,-6.0,1,10.22,10.22,,
2026-03-21,stock,logs/3-21.csv,1200.0,-10.5,40,4.96975,4.585,,0.95819672381952
2026-03-21,stock,logs/3-21.csv,1200.0,-10.0,328,5.661158536585366,6.05,,0.8256947028856293
2026-03-21,stock,logs/3-21.csv,1200.0,-9.5,817,5.999608323133415,5.85,,0.6626435052339066
2026-03-21,stock,logs/3-21.csv,1200.0,-9.0,3947,6.986556878642007,7.05,,0.7941499722367508
2026-03-21,stock,logs/3-21.csv,1200.0,-8.5,906,8.443289183222959,8.6,,0.5928761232299106
2026-03-21,stock,logs/3-21.csv,1200.0,-8.0,232,9.017887931034483,9.03,,0.3110550756915078
2026-03-21,stock,logs/3-21.csv,1200.0,-7.5,5,8.436,8.15,,0.6157759332744336
2026-03-21,stock,logs/3-21.csv,1200.0,-7.0,18,11.383333333333333,11.695,,1.481279256350442
2026-03-21,stock,logs/3-21.csv,1200.0,-6.5,18,11.884444444444444,11.99,,0.99762200918114
2026-03-21,stock,logs/3-21.csv,1200.0,-6.0,12,11.8375,12.1,,0.6321410228163276
2026-03-21,stock,logs/3-21.csv,1600.0,-10.5,734,6.89016348773842,6.92,,0.2151809428687949
2026-03-21,stock,logs/3-21.csv,1600.0,-10.0,261,7.405708812260537,7.34,,0.6997208066016591
2026-03-21,stock,logs/3-21.csv,1600.0,-9.5,350,8.647771428571428,8.54,,0.7125824975399313
2026-03-21,stock,logs/3-21.csv,1600.0,-9.0,2160,8.92473148148148,8.97,,0.379677372279981
2026-03-21,stock,logs/3-21.csv,1600.0,-8.5,795,10.05033962264151,9.59,,1.0257314207352153
2026-03-21,stock,logs/3-21.csv,1600.0,-8.0,414,11.887850241545893,11.99,,0.7743165176643116
2026-03-21,stock,logs/3-21.csv,1600.0,-7.5,865,13.429236994219652,13.48,,0.5853915044179041
2026-03-21,stock,logs/3-21.csv,1600.0,-7.0,70,14.403142857142855,14.13,,0.7718536747584316
2026-03-21,stock,logs/3-21.csv,1600.0,-6.5,1,18.59,18.59,,
2026-03-21,stock,logs/3-21.csv,1600.0,-6.0,10,19.598,19.7,,1.0245627793790326
2026-03-21,stock,logs/3-21.csv,1600.0,-5.5,4,19.6475,19.835,,1.265184439782069
2026-03-21,stock,logs/3-21.csv,1600.0,-5.0,11,21.88909090909091,22.03,,0.6657995876456297
2026-03-21,stock,logs/3-21.csv,1600.0,-4.5,7,22.13714285714286,21.5,,1.285388583084433
2026-03-21,stock,logs/3-21.csv,1600.0,-4.0,12,24.344166666666663,24.695,,0.8817385546679231
2026-03-21,stock,logs/3-21.csv,1600.0,-3.5,6,25.625,25.635,,0.5359011102806196
