log_date,rom_rev,log_path,pull_id,entry_condition,pedal_on_t,pedal_on_RPM,pedal_on_mrp,pedal_on_mph,app100_t_offset,app100_RPM,app100_mrp,thr100_t_offset,thr100_RPM,thr100_mrp,peak_mrp,peak_t_offset,peak_RPM,time_pedal_to_peak,time_app100_to_peak,time_thr100_to_peak,avcs_at_pedal_on,avcs_at_peak,avcs_max,wgdc_at_peak,wgdc_max,peak_mph,target_at_peak,target_attainment,min_fbkc,knock_during,duration_s,min_flkc,flkc_events_during
2026-04-24,20.8,logs/4-24/4-24 full.csv,0,post_partial,14174.64,4022.75,0.72,47.8456,,,,,,,18.7,0.8800000000010186,4572.75,0.8800000000010186,,,19.0,11.0,20.0,65.4902,78.0392,68.3508,18.2081,1.0270154491682273,-1.4,1,2.4400000000005093,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,1,post_dfco,14177.72,4293.25,-6.82,67.7295,,,,0.3200000000015279,4222.5,7.39,18.26,0.8800000000010186,4494.5,0.8800000000010186,,0.5599999999994907,2.0,13.0,16.0,63.9216,76.8627,72.0791,17.5083,1.0429339227680587,-1.4,1,0.9200000000000728,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,2,post_dfco,14180.4,2843.25,-3.49,72.0791,,,,,,,7.39,2.399999999999636,3055.25,2.399999999999636,,,4.0,29.0,29.0,74.902,74.902,77.05,9.30178,0.7944715957590912,0.0,0,2.4400000000005093,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,3,post_partial,14283.2,3224.75,2.75,81.3996,,,,,,,8.11,1.039999999999054,3303.25,1.039999999999054,,,23.0,27.0,28.0,72.549,74.5098,83.2637,10.8124,0.7500647404831489,0.0,0,1.039999999999054,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,4,post_dfco,14925.16,2795.0,-7.4,57.1662,,,,,,,11.59,0.8800000000010186,4539.0,0.8800000000010186,,,2.0,6.0,9.0,74.5098,78.4314,59.0303,18.3295,0.6323140292970348,0.0,0,0.8800000000010186,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,5,post_partial,14926.36,5121.75,-6.24,59.6516,,,,,,,20.0,0.5999999999985448,5294.0,0.5999999999985448,,,2.0,2.0,5.0,54.5098,74.5098,78.9141,17.0042,1.176180002587596,-2.8,1,2.399999999999636,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,6,post_dfco,14929.32,4824.5,-8.13,78.9141,0.1200000000008003,5010.5,2.17,0.1599999999998544,4953.5,2.6,22.18,0.960000000000946,5155.25,0.960000000000946,0.8400000000001455,0.8000000000010914,2.0,5.0,8.0,59.6078,75.2941,93.2057,20.4361,1.0853342858960369,-1.4,1,2.520000000000437,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,7,post_dfco,14933.16,3705.0,-1.75,91.3416,,,,,,,18.26,1.6000000000003638,3770.25,1.6000000000003638,,,6.0,26.0,27.0,63.9216,78.4314,98.798,16.1838,1.1282887826097705,0.0,0,2.7999999999992724,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,8,post_dfco,14992.08,2683.5,-2.04,68.3508,,,,,,,5.65,3.040000000000873,2770.25,3.040000000000873,,,19.0,28.0,28.0,74.902,74.902,70.2149,7.63866,0.7396585264954849,0.0,0,3.1200000000008004,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,9,post_dfco,15024.72,3146.5,-8.71,47.2242,,,,,,,5.21,1.2399999999997815,3209.0,1.2399999999997815,,,3.0,25.0,26.0,74.5098,74.902,52.1952,10.1802,0.5117777646804582,0.0,0,1.320000000001528,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,10,post_partial,15032.12,3616.0,5.21,58.4089,,,,,,,11.88,0.7599999999983993,3891.0,0.7599999999983993,,,26.0,25.0,26.0,77.6471,77.6471,62.1371,16.0319,0.7410225862187264,0.0,0,0.7599999999983993,,
2026-04-24,20.8,logs/4-24/4-24 full.csv,11,post_dfco,15113.56,3834.25,-6.53,36.6609,,,,,,,6.37,0.8800000000010186,4180.0,0.8800000000010186,,,15.0,20.0,21.0,76.8627,78.0392,41.6319,18.053,0.3528499418379217,0.0,0,1.0,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,0,post_dfco,1261.96,3828.25,-6.9697,43.496,,,,,,,5.7903,1.1599999999998545,4019.25,1.1599999999998545,,,3.0,21.0,21.0,77.6471,78.0392,48.467,16.7917,0.3448310772584074,0.0,0,1.2000000000000457,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,1,post_dfco,1264.8,3622.0,-9.4347,53.4379,,,,,,,5.7903,1.4800000000000182,3573.25,1.4800000000000182,,,2.0,25.0,25.0,78.4314,80.0,57.7875,12.8537,0.4504772944755207,0.0,0,1.5199999999999818,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,2,post_partial,1754.12,3057.5,-1.1697,49.7097,,,,,,,5.7903,1.8800000000001087,3460.75,1.8800000000001087,,,20.0,27.0,27.0,69.8039,74.902,56.5448,11.7274,0.4937411531967871,0.0,0,2.040000000000191,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,3,post_partial,1759.32,3884.75,0.715300000000001,62.7585,,,,,,,18.9853,1.240000000000009,4234.5,1.240000000000009,,,15.0,19.0,23.0,65.098,78.0392,77.6714,17.7911,1.0671234493651318,-1.4,1,2.680000000000064,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,4,post_dfco,1763.44,3443.25,-3.7797,79.5355,,,,,,,6.3703,1.2799999999999727,3240.5,1.2799999999999727,,,2.0,27.0,27.0,74.5098,80.0,82.021,10.0161,0.6360060302912312,0.0,0,1.3199999999999363,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,5,post_partial,7567.68,2457.0,-0.589599999999999,24.2335,,,,,,,5.3554,4.159999999999855,4232.75,4.159999999999855,,,20.0,20.0,24.0,76.4706,77.6471,41.0105,16.0478,0.3337155248694525,0.0,0,4.159999999999855,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,6,post_dfco,7573.76,3541.75,-6.0996,47.2242,,,,,,,7.5304,1.2399999999997815,4380.75,1.2399999999997815,,,2.0,16.0,19.0,76.0784,78.0392,52.1952,16.3913,0.4594144454680226,0.0,0,1.2399999999997815,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,7,post_dfco,8210.64,2048.0,-0.8797,24.2335,,,,,,,15.6503,4.920000000000073,4093.5,4.920000000000073,,,17.0,23.0,29.0,75.6863,79.2157,50.3311,16.8627,0.92810166817888,0.0,0,5.040000000000873,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,8,post_dfco,8218.32,3586.25,-8.2747,60.273,,,,,,,10.4303,1.1599999999998545,3950.75,1.1599999999998545,,,3.0,23.0,25.0,77.6471,78.0392,64.0012,16.4631,0.6335562561121538,0.0,0,1.2000000000007276,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,9,post_dfco,8770.36,3459.0,-6.0997,52.1952,,,,,,,10.8653,1.7600000000002185,3668.0,1.7600000000002185,,,3.0,26.0,26.0,77.6471,80.0,59.0303,13.6878,0.793794473911074,0.0,0,1.7600000000002185,,
2026-04-25,20.9,logs/4-25/4-25 full.csv,10,post_dfco,11280.16,3460.75,-6.0997,43.496,,,,,,,5.7903,1.5200000000004366,4114.75,1.5200000000004366,,,2.0,21.0,23.0,77.2549,78.0392,49.7097,16.7633,0.3454152821938401,0.0,0,1.6000000000003638,,
2026-04-27,20.10,logs/4-27 20.10/4-27.csv,0,post_dfco,38339.28,3700.5,-1.6,44.1174,,,,,,,7.1,1.2399999999979627,4169.75,1.2399999999979627,,,4.0,20.0,21.0,72.9412,76.0784,50.3311,16.6326,0.4268725274460998,0.0,0,1.2799999999988358,,
2026-05-02,20.10,logs/5-2/5-2.csv,0,post_partial,32100.68,2855.0,-0.15,47.0,,,,,,,5.5,1.7200000000011642,3203.0,1.7200000000011642,,,19.0,28.0,28.0,70.2,74.12,52.0,10.06,0.5467196819085487,0.0,0,1.7599999999983993,,
