log_path,log_date,rom_rev,confidence,note
Older/3-31 black.csv,2023-03-31,old_2023_base,high,3 years ago - same car - rom = 13 20g Base rev 25 e garn.hex (10Hz logger schema)
Older/3-21.csv,2026-03-21,garn_base,high,pre-MerpMod
Older/3-30.csv,2026-03-30,garn_base,high,pre-MerpMod
Older/4-1.csv,2026-04-01,garn_base,high,pre-MerpMod (20.7 saved 2026-04-04)
Older/4-11.csv,2026-04-11,20.7,high,
Older/4-12 big.csv,2026-04-12,20.7,high,
April/4-23/log0001.csv,2026-04-23,20.8,high,
April/4-23/log0002.csv,2026-04-23,20.8,high,
April/4-24/4-24 full.csv,2026-04-24,20.8,high,user-confirmed; 20.9 finalized after this drive
April/4-25/4-25 full.csv,2026-04-25,20.9,high,user-confirmed
April/4-27 20.10/4-27.csv,2026-04-27,20.10,high,folder name confirms
5-2/5-2.csv,2026-05-02,20.10,high,user-confirmed (20.11 not flashed)
5-8 20.11/5-8.csv,2026-05-08,20.11,high,first log on 20.11
5-10 20.11/log0003.csv,2026-05-10,20.11,high,second log on 20.11 (7.3 min; 6 post_dfco pulls)
5-11 20.11/log0001.csv,2026-05-11,20.11,high,third log on 20.11 (15.8 min)
5-11 20.11/log0002.csv,2026-05-11,20.11,high,4th log on 20.11 (5.9 min; cold start - first half warmup; no WOT)
5-11 20.11/log0003.csv,2026-05-11,20.11,high,5th log on 20.11 (5.8 min; warm; 1 WOT pull at 5210 RPM)
5-12 20.11/5-12.csv,2026-05-12,20.11,high,6th log on 20.11 (11.8 min; cruise+partial throttle climb 2267-4448 RPM @ load 1.0-1.2)
5-17 20.12/log0002.csv,2026-05-17,20.12,high,1st 20.12 log (157.6 min - long drive; 21 knock cells; 980 stutter events)
5-17 20.12/log0003.csv,2026-05-17,20.12,high,2nd 20.12 log (12.8 min; no knock; 103 stutter)
5-17 20.12/log0004.csv,2026-05-17,20.12,high,3rd 20.12 log (13.1 min; no knock; 133 stutter)
5-17 20.12/log0005.csv,2026-05-17,20.12,high,4th 20.12 log (12.9 min; 6 knock cells; 65 stutter)
5-17 20.12/log0006.csv,2026-05-17,20.12,high,5th 20.12 log (14.0 min; 1 knock cell; 120 stutter)
5-17 20.12/log0007.csv,2026-05-17,20.12,high,6th 20.12 log (133.7 min - long drive; 39 knock cells incl deep high-load OL cluster; 694 stutter)
5-22 20.13/log0001.csv,2026-05-22,20.13,high,1st log on 20.13 (OL richen + IAT retard + AVCS plateau verification drive)
5-23 20.14/log0001.csv,2026-05-23,20.14,high,1st log on 20.14 (warm; 24 min; pedal-hump verification drive; WOT pull; 125 FBKC<0 samples)
5-23 20.14/log0002.csv,2026-05-23,20.14,high,2nd log on 20.14 (cold start; 8.9 min; cold 25-mph AVCS hunting; no knock; throttle stab w/ AVCS-sweep lean)
